Format Version,1.23,Take Name,rotaciontobillo_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-06-06 07.47.27.028 P. M.,Total Frames in Take,7387,Total Exported Frames,7387,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,Cadera,Cadera,Cadera,Cadera,Cadera,Cadera,Muslo,Muslo,Muslo,Muslo,Muslo,Muslo,Rodilla,Rodilla,Rodilla,Rodilla,Rodilla,Rodilla,Chamorro,Chamorro,Chamorro,Chamorro,Chamorro,Chamorro,Tobillo,Tobillo,Tobillo,Tobillo,Tobillo,Tobillo,Pie,Pie,Pie,Pie,Pie,Pie
,ID,"8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,21.348145,-3.815545,3.518750,-620.807007,869.278442,-31.838696,35.793648,-2.311847,22.366798,-550.536316,757.761719,-204.683014,27.231712,-26.877934,18.526972,-437.713745,569.876343,-273.226532,177.956146,-47.502892,172.226868,-394.377777,356.545288,-259.271729,,,,,,,138.910446,-17.014931,-172.460434,-273.880371,71.167381,-414.457886
1,0.002778,,,,,,,21.456841,-3.866376,3.554847,-620.841125,869.127869,-31.969852,35.808685,-2.319499,22.400234,-550.432434,757.749756,-204.644516,27.237896,-26.932892,18.566292,-437.542328,569.932129,-273.152985,177.962341,-47.432625,172.249924,-394.098846,356.595398,-259.090302,,,,,,,138.951416,-16.807444,-172.710251,-273.164612,71.910309,-414.302917
2,0.005556,,,,,,,21.291323,-3.790568,3.542850,-620.813477,869.294128,-31.792992,35.850803,-2.317886,22.411007,-550.307617,757.741516,-204.616821,27.310774,-26.977219,18.633343,-437.407837,569.976990,-273.093536,177.936829,-47.364628,172.232849,-393.820923,356.644806,-258.902679,-12.931452,34.891964,15.216606,-414.542725,181.932922,-337.842377,139.032227,-16.587385,-172.906570,-272.376251,72.693382,-414.216461
3,0.008333,,,,,,,21.298264,-3.799712,3.552029,-620.842468,869.271545,-31.805538,35.950275,-2.194907,22.435711,-550.153748,757.746948,-204.608887,27.293184,-27.045158,18.671633,-437.059753,570.011353,-272.879578,177.931076,-47.283890,172.242905,-393.565552,356.690002,-258.710571,-12.303477,34.526249,15.365689,-414.349243,181.909241,-337.249420,139.098618,-16.378906,-173.228195,-271.573975,73.553314,-414.150360
4,0.011111,,,,,,,21.322737,-3.799705,3.563491,-620.861145,869.220886,-31.819492,35.989532,-2.171551,22.458212,-550.028076,757.746826,-204.583298,27.100122,-27.415232,18.724611,-437.032928,570.094727,-272.450562,176.863281,-47.560497,171.226608,-393.572388,356.523743,-258.409058,,,,,,,139.141296,-16.003361,-173.529449,-270.918152,74.584824,-413.969177
5,0.013889,,,,,,,21.595053,-3.882828,3.592074,-620.919189,868.935120,-32.045933,36.008144,-2.168270,22.498705,-549.891479,757.749817,-204.548050,27.124229,-27.463654,18.788294,-436.836060,570.163696,-272.341827,177.874405,-47.049545,172.267075,-392.955933,356.792267,-258.296204,-12.440044,34.224415,15.739632,-413.612762,181.899979,-336.722412,139.271011,-15.705340,-173.865982,-270.119507,75.566910,-413.929169
6,0.016667,,,,,,,20.301571,-2.898838,2.893703,-618.867737,870.916870,-29.572937,35.944618,-2.277439,22.625536,-549.711609,757.742981,-204.500458,27.107506,-27.516146,18.802979,-436.444702,570.135071,-272.112457,177.818466,-46.899254,172.268082,-392.705139,356.849396,-258.057281,,,,,,,139.321579,-15.598332,-174.230377,-269.219788,76.638664,-413.965088
7,0.019444,,,,,,,20.293665,-2.893162,2.905624,-618.914978,870.910400,-29.558065,35.912502,-2.330345,22.710325,-549.546875,757.740662,-204.450287,27.168358,-27.573490,18.900539,-436.398499,570.259338,-272.066711,177.802277,-46.784153,172.234253,-392.439178,356.910675,-257.847717,-11.351315,35.114578,16.457558,-413.626892,181.593826,-337.545166,139.354218,-15.349653,-174.551361,-268.422211,77.781219,-413.876465
8,0.022222,,,,,,,20.303789,-2.902522,2.909966,-618.930664,870.905151,-29.585342,35.853664,-2.388866,22.802570,-549.385681,757.739441,-204.387344,27.226267,-27.731577,18.929234,-436.512756,570.422180,-272.157837,177.743118,-46.590363,172.254486,-392.266968,356.973602,-257.639526,-11.591711,34.803635,16.596952,-413.119049,181.638138,-337.048126,139.525757,-15.081275,-175.029160,-267.591553,78.898407,-413.912048
9,0.025000,,,,,,,20.313124,-2.896694,2.918391,-618.942505,870.880676,-29.585045,35.807423,-2.468534,22.898209,-549.218140,757.751709,-204.344345,27.229517,-27.896687,18.962917,-436.413605,570.580811,-272.226471,177.896301,-46.558640,172.312332,-391.924347,357.012177,-257.405457,-11.725266,34.598026,16.790993,-412.766144,181.632874,-336.723022,139.712799,-14.811573,-175.458511,-266.826569,80.026802,-413.949677
10,0.027778,,,,,,,20.325125,-2.904062,2.921773,-618.958984,870.867004,-29.601519,35.783249,-2.515707,22.976318,-549.067505,757.759766,-204.293167,27.127518,-32.248192,18.947685,-435.376343,572.731201,-276.193237,177.891556,-46.492966,172.313141,-391.650055,357.138824,-257.199799,,,,,,,140.013306,-14.531656,-175.863327,-266.023407,81.086052,-413.945221
11,0.030556,,,,,,,20.262356,-2.953006,3.003383,-618.785889,870.786743,-29.925964,35.822872,-2.538127,23.011023,-548.920227,757.776794,-204.247375,27.264269,-28.002232,19.047951,-435.847992,570.645264,-271.821503,177.824722,-46.377800,172.333115,-391.374298,357.149445,-256.968903,,,,,,,139.933167,-14.336612,-176.350449,-265.252502,82.387733,-414.002716
12,0.033333,,,,,,,20.252577,-2.963829,3.030509,-618.812500,870.786560,-29.960207,-159.754547,-63.533813,-5.440536,-546.821472,757.101685,-202.380585,,,,,,,177.767410,-46.292343,172.260757,-391.139252,357.212555,-256.764587,,,,,,,140.127960,-14.109658,-176.840805,-264.487366,83.490059,-414.088470
13,0.036111,,,,,,,20.257200,-2.966869,3.046745,-618.831787,870.764099,-29.973940,-159.822357,-63.479076,-5.505040,-546.636963,757.134827,-202.341110,27.196423,-35.605717,19.120821,-433.642822,574.448669,-278.735992,177.847656,-46.394798,172.785812,-391.177734,357.195160,-256.538757,,,,,,,140.252014,-13.827582,-177.330826,-263.700439,84.700951,-414.199829
14,0.038889,,,,,,,20.064026,-2.997453,3.182096,-618.929260,870.781555,-30.055241,124.454041,-51.135658,-47.194878,-554.893311,758.803040,-214.087372,,,,,,,177.744141,-45.844437,172.333939,-390.661224,357.360382,-256.384308,,,,,,,140.451462,-13.650144,-177.738266,-262.979401,85.802994,-414.305084
15,0.041667,,,,,,,20.004383,-3.018608,3.242934,-618.985901,870.776489,-30.088205,124.417679,-51.080620,-47.189663,-554.714905,758.818054,-214.053085,27.241037,-36.151760,19.196409,-433.174438,574.892212,-279.079163,177.931610,-46.250462,172.862869,-390.565704,357.292969,-256.200256,159.248199,-30.309433,155.503265,-407.495239,180.569000,-332.316803,140.622726,-13.441074,-178.244232,-262.207703,86.949356,-414.253326
16,0.044444,,,,,,,19.921469,-3.065107,3.291187,-619.083191,870.850708,-30.153971,-159.792725,-63.363194,-5.400622,-546.035706,757.260864,-202.229492,,,,,,,177.852631,-46.029644,172.796158,-390.393097,357.395630,-256.021942,,,,,,,140.848770,-13.185513,-179.030212,-261.435181,88.195946,-414.499695
17,0.047222,,,,,,,19.887285,-3.097568,3.333268,-619.144409,870.820679,-30.175884,-159.780563,-63.317120,-5.433347,-545.873657,757.282471,-202.171463,27.287712,-36.416561,19.280479,-432.716156,575.185974,-279.132751,177.794586,-45.960846,172.748672,-390.095123,357.462952,-255.865448,-149.277542,37.496834,-17.393517,-409.778381,180.219284,-339.905914,141.034317,-12.968768,-179.611847,-260.765564,89.380821,-414.554688
18,0.050000,,,,,,,19.826265,-3.118124,3.380074,-619.192322,870.841064,-30.202436,124.825012,-51.059322,-46.957676,-554.144409,758.924500,-213.895828,,,,,,,177.358597,-45.909809,172.276550,-389.891296,357.479126,-255.700195,170.875992,-31.745207,164.519363,-407.373993,182.546921,-335.884735,141.245651,-12.751036,179.782349,-259.901917,90.613495,-414.608307
19,0.052778,,,,,,,19.808849,-3.135363,3.417295,-619.237366,870.850769,-30.229568,124.912209,-51.029018,-46.868141,-553.956787,758.949463,-213.845459,27.451178,-27.715803,19.351604,-431.931213,570.816589,-270.219635,177.389206,-45.773670,172.281143,-389.596283,357.522217,-255.536819,170.835556,-32.108715,164.307556,-406.956604,182.767090,-336.349182,141.484177,-12.532861,179.359406,-259.218018,91.678558,-414.695374
20,0.055556,,,,,,,19.753445,-3.159378,3.454790,-619.287354,870.850891,-30.251554,124.963036,-50.968121,-46.798992,-553.783997,758.966797,-213.811447,27.420774,-27.739525,19.346270,-431.674408,570.878174,-270.042328,177.390442,-45.823025,172.245132,-389.225586,357.533447,-255.410431,161.251266,-27.142170,156.146317,-406.819489,180.513275,-334.564056,141.691559,-12.341104,178.583939,-258.502167,92.927498,-414.920563
21,0.058333,,,,,,,19.872004,-3.116297,3.375807,-619.199158,870.849792,-30.212786,124.964081,-50.896744,-46.754425,-553.620422,758.994995,-213.783371,27.501015,-27.819353,19.432775,-431.448425,570.925232,-269.964050,177.233490,-45.779789,172.150665,-388.927490,357.590454,-255.243652,171.624954,-32.722622,163.768875,-405.971497,183.199402,-336.550293,141.898636,-12.051029,177.950684,-257.762390,94.238503,-415.029083
22,0.061111,,,,,,,19.681070,-3.198300,3.530152,-619.379089,870.883911,-30.310951,-160.980774,-63.075581,-6.768139,-545.304565,757.361084,-201.935455,27.562824,-27.871544,19.486160,-431.261932,570.966370,-269.852142,177.067947,-45.750374,171.956619,-388.583832,357.643555,-255.074051,,,,,,,142.110580,-11.860671,177.214035,-257.056976,95.545357,-415.164215
23,0.063889,,,,,,,19.925159,-3.152974,3.428670,-619.266479,870.728516,-30.260559,-161.010941,-63.038864,-6.796715,-545.163086,757.378479,-201.899780,27.579538,-27.921000,19.538864,-431.021088,571.030212,-269.743500,176.975754,-45.777950,171.883881,-388.258301,357.682617,-254.936218,161.253616,-26.499083,155.750732,-405.682800,180.810822,-334.438721,142.419510,-11.642471,176.607239,-256.401154,96.837624,-415.328644
24,0.066667,,,,,,,19.889727,-3.171816,3.454572,-619.295654,870.743469,-30.283728,-161.087723,-62.996727,-6.909832,-544.973145,757.400757,-201.886765,,,,,,,177.158340,-45.641693,171.955322,-387.956085,357.681763,-254.740234,161.097229,-27.062857,155.999237,-405.873627,180.217590,-333.862396,142.657303,-11.499637,176.006454,-255.740585,98.135826,-415.583679
25,0.069444,,,,,,,19.839226,-3.188691,3.497886,-619.328613,870.753479,-30.315302,-161.047073,-62.968472,-6.847446,-544.795166,757.430786,-201.873047,27.806602,-28.055727,19.694090,-430.691162,571.105408,-269.599792,177.126328,-45.597752,171.914261,-387.657349,357.708038,-254.604691,161.438507,-26.513380,155.754333,-404.811127,180.749283,-334.328552,143.010681,-11.348867,175.224487,-255.053467,99.514114,-415.910339
26,0.072222,,,,,,,19.707087,-3.253204,3.621597,-619.472534,870.771729,-30.402332,-161.130341,-62.933575,-6.934645,-544.679749,757.437012,-201.844635,,,,,,,177.024551,-45.562183,171.806961,-387.309723,357.782654,-254.470947,161.781631,-26.459749,155.594772,-404.007263,180.829269,-334.437225,143.278641,-11.158101,174.611130,-254.409637,100.806862,-416.058014
27,0.075000,,,,,,,19.706839,-3.297003,3.669715,-619.539001,870.728394,-30.463249,-161.205734,-62.883133,-7.001056,-544.532471,757.448975,-201.821091,27.594961,-26.742699,19.824654,-427.509308,570.938904,-268.439484,176.615326,-45.606155,171.308502,-387.138306,357.648834,-254.244751,165.748428,-28.311563,166.658401,-401.119263,181.372635,-334.839050,143.559341,-11.018041,173.826874,-253.758911,102.244270,-416.389069
28,0.077778,,,,,,,19.653204,-3.327188,3.711286,-619.601257,870.748413,-30.499037,-161.251480,-62.860771,-7.054399,-544.375061,757.453125,-201.789215,27.661871,-26.709639,19.896679,-427.203735,571.024536,-268.339722,177.293076,-45.297867,172.086899,-386.530823,357.805878,-254.252045,161.895294,-26.529758,155.087723,-403.246033,180.519958,-333.922394,143.934479,-10.937038,172.991730,-253.149353,103.564407,-416.739105
29,0.080556,,,,,,,19.604816,-3.342811,3.750433,-619.623169,870.749573,-30.520487,-161.438461,-62.800919,-7.244778,-544.272034,757.453796,-201.754410,27.701921,-26.776611,19.920546,-426.976807,571.034424,-268.210663,177.075867,-45.436977,171.893845,-386.142090,357.985107,-254.180405,165.692749,-29.665287,158.915695,-402.888763,180.446121,-333.521271,144.301529,-10.805802,172.336334,-252.599243,104.917343,-417.004028
30,0.083333,,,,,,,19.552822,-3.375244,3.791721,-619.645508,870.765137,-30.558863,-161.514008,-62.763573,-7.326323,-544.144226,757.456604,-201.722870,26.902843,-28.727383,22.211136,-427.583740,572.959839,-265.157471,177.267075,-45.098717,171.982727,-385.928650,357.959869,-253.976135,168.640427,-30.865341,161.370850,-403.346375,180.520416,-333.646759,144.735931,-10.725437,171.536987,-252.020630,106.260315,-417.415955
31,0.086111,,,,,,,19.508198,-3.404026,3.825064,-619.693665,870.782654,-30.603033,-161.663528,-62.684704,-7.477745,-544.037170,757.450989,-201.666443,26.952322,-28.817999,22.271452,-427.409668,573.026855,-265.092773,177.153931,-45.030018,171.846085,-385.589203,358.033142,-253.861420,161.761063,-27.945349,165.105255,-399.988922,182.606277,-336.475006,145.100281,-10.674849,170.700943,-251.505554,107.612045,-417.763031
32,0.088889,,,,,,,19.421337,-3.416791,3.851383,-619.722473,870.837769,-30.614044,-161.668411,-62.645512,-7.472157,-543.894653,757.469727,-201.648285,,,,,,,176.882477,-45.177074,171.610428,-385.149384,358.030212,-253.788712,164.930115,-27.911404,165.998016,-398.874176,181.599594,-334.899689,145.548843,-10.602882,169.875961,-250.990784,108.968239,-418.207306
33,0.091667,,,,,,,19.390661,-3.432985,3.877885,-619.744202,870.839661,-30.640900,-161.681015,-62.587059,-7.464314,-543.748291,757.493469,-201.632935,,,,,,,176.971024,-45.108704,171.646683,-384.792145,358.121704,-253.648483,161.764832,-28.218361,164.605911,-398.251709,183.103912,-336.427155,145.920013,-10.674017,169.469009,-250.497787,110.130188,-418.662262
34,0.094444,,,,,,,19.403166,-3.462332,3.909319,-619.779846,870.794678,-30.689087,-161.778976,-62.531464,-7.594383,-543.657959,757.505005,-201.600403,27.955496,-28.044147,20.121149,-427.147186,571.406616,-268.124176,176.887863,-45.049282,171.516220,-384.466522,358.181000,-253.549011,161.846420,-28.143373,164.505219,-397.721039,183.202072,-336.363312,146.370651,-10.722589,168.526352,-250.072983,111.485901,-419.225037
35,0.097222,,,,,,,20.195452,-3.707860,3.982117,-620.086487,869.964050,-31.200460,-161.816086,-62.489681,-7.644997,-543.548096,757.509033,-201.563599,,,,,,,176.795288,-44.967472,171.411606,-384.095642,358.271790,-253.465561,161.889160,-28.091429,164.317368,-397.202942,183.258408,-336.281464,146.776962,-10.729144,167.921463,-249.611206,112.664665,-419.700592
36,0.100000,,,,,,,20.333883,-3.760831,4.001503,-620.158203,869.803040,-31.316757,-161.888702,-62.446461,-7.725924,-543.402222,757.524048,-201.553497,28.458729,-29.057386,20.200724,-428.461884,571.173462,-268.073334,176.666870,-44.950985,171.237839,-383.762787,358.335052,-253.379883,161.939194,-28.049007,164.181747,-396.737122,183.337219,-336.223602,147.165665,-10.771115,167.163055,-249.255035,113.887802,-420.178741
37,0.102778,,,,,,,20.469687,-3.804563,4.013462,-620.222107,869.652100,-31.421810,-161.958206,-62.402687,-7.790850,-543.268250,757.542175,-201.526901,28.239393,-28.409218,20.251209,-427.324829,571.473511,-268.068420,176.591583,-44.897892,171.184174,-383.436493,358.416534,-253.306534,161.958313,-27.956497,164.158569,-396.294739,183.442749,-336.191101,147.653152,-10.972054,166.423431,-248.920166,115.176552,-420.825806
38,0.105556,,,,,,,20.563616,-3.840255,4.030849,-620.278687,869.528198,-31.523111,-161.974396,-62.363823,-7.804147,-543.131897,757.560791,-201.501511,28.208443,-28.462084,20.236017,-427.093597,571.553955,-267.933960,176.625900,-44.827900,171.164490,-383.089935,358.501434,-253.217163,162.130188,-28.020990,164.002121,-395.675293,183.469086,-336.119537,148.070663,-10.990975,165.690048,-248.586349,116.386177,-421.318451
39,0.108333,,,,,,,20.568419,-3.858695,4.058924,-620.302063,869.491211,-31.573984,-162.092087,-62.334881,-7.954505,-543.046753,757.562927,-201.469299,,,,,,,176.843323,-44.659058,171.339600,-382.662537,358.512939,-253.158875,162.211136,-28.036289,163.882431,-395.111725,183.513321,-336.041290,148.367508,-11.134633,164.753571,-248.356171,117.667747,-422.081024
40,0.111111,,,,,,,20.489546,-3.870284,4.075163,-620.316956,869.526184,-31.575315,-162.188278,-62.286526,-8.038291,-542.919128,757.587646,-201.440414,28.227938,-28.506073,20.298599,-426.734802,571.665039,-267.760986,176.929749,-44.610870,171.487122,-382.173981,358.715973,-253.147217,162.344574,-28.002569,163.746994,-394.667053,183.518448,-335.929871,148.610504,-11.159564,164.461014,-247.793060,118.626251,-422.417267
41,0.113889,,,,,,,20.309484,-3.818988,4.080678,-620.237244,869.687134,-31.503845,-162.211243,-62.275970,-8.062167,-542.801697,757.602051,-201.429749,28.388817,-28.545050,20.397316,-426.611389,571.663452,-267.711151,176.849716,-44.563480,171.377213,-381.862518,358.790588,-253.099167,162.431564,-27.986328,163.578354,-394.199646,183.591248,-335.873566,148.931976,-11.328400,163.783508,-247.565552,119.823021,-423.142426
42,0.116667,,,,,,,20.481411,-3.867051,4.099955,-620.303162,869.490784,-31.636543,-162.331100,-62.251110,-8.186363,-542.729553,757.604187,-201.404816,28.047298,-28.751610,20.435329,-426.674042,571.926453,-267.417725,176.802063,-44.782867,171.352432,-381.341583,358.842651,-253.081207,162.454147,-27.941732,163.405334,-393.762421,183.690796,-335.832611,150.581436,-11.120754,155.235352,-248.712662,125.959518,-425.645355
43,0.119444,,,,,,,20.748405,-3.958627,4.118830,-620.428894,869.204224,-31.824965,-162.291626,-62.237190,-8.118912,-542.583923,757.635559,-201.405533,28.474897,-28.572237,20.485210,-426.295380,571.769104,-267.566986,176.693100,-44.734810,171.225784,-380.967804,358.889465,-253.022278,162.601700,-27.982115,163.192749,-393.222565,183.784546,-335.768890,150.790390,-11.334743,154.658768,-248.553284,127.098755,-426.342010
44,0.122222,,,,,,,20.585320,-3.904253,4.129630,-620.340759,869.347168,-31.759832,-162.340118,-62.241096,-8.172707,-542.387756,757.659119,-201.410278,28.230927,-28.812330,20.558706,-426.465027,572.004883,-267.349579,176.605545,-44.728062,171.095078,-380.608154,358.979156,-252.975464,162.915405,-28.165947,163.511978,-392.570160,183.665283,-335.734344,151.391876,-11.354805,153.805847,-248.284058,128.629684,-427.042358
45,0.125000,,,,,,,20.609600,-3.923310,4.143170,-620.357056,869.309998,-31.807222,-162.150406,-62.279194,-7.908918,-542.154663,757.710999,-201.430313,28.617207,-28.662748,20.604692,-426.111969,571.877014,-267.557465,176.496582,-44.704243,170.847076,-380.223907,359.079315,-252.976532,163.024124,-28.241302,163.499634,-392.031982,183.676788,-335.713562,151.965393,-11.457221,153.363052,-248.027176,129.973343,-427.698914
46,0.127778,,,,,,,20.536243,-3.917115,4.167900,-620.329468,869.348633,-31.804613,-162.180069,-62.274269,-7.949102,-542.056580,757.720276,-201.425949,28.360287,-28.464243,20.624939,-425.357513,572.046082,-267.286957,176.413467,-44.691601,170.728806,-379.904724,359.142731,-252.938599,163.088043,-28.115448,163.304764,-391.687225,183.737076,-335.579590,157.800659,-17.373003,169.284760,-250.918625,130.405380,-427.953888
47,0.130556,,,,,,,20.603088,-3.922164,4.164317,-620.323181,869.288391,-31.847446,-162.451157,-62.249779,-8.283992,-542.046387,757.687134,-201.387329,28.115294,-26.991219,20.685562,-422.795227,572.010986,-266.602386,176.338135,-44.595989,170.726074,-379.573425,359.315247,-252.945694,163.171402,-28.145710,163.110565,-391.228363,183.784424,-335.525970,158.321259,-17.730789,169.172791,-250.823471,131.654892,-428.592743
48,0.133333,,,,,,,20.758232,-3.946379,4.173918,-620.359558,869.115356,-31.962090,-162.490860,-62.244312,-8.330812,-541.952148,757.692139,-201.385880,28.145193,-27.027016,20.757835,-422.571655,572.099182,-266.511139,176.203186,-44.595734,170.568588,-379.197998,359.404572,-252.879974,163.411942,-28.205381,162.976089,-390.783295,183.796356,-335.411316,158.559067,-17.861530,167.940018,-250.670227,133.040527,-429.474854
49,0.136111,,,,,,,20.139399,-3.838654,4.159068,-620.089539,869.787048,-31.663630,-162.543945,-62.236248,-8.387614,-541.852295,757.699341,-201.384628,28.151941,-27.004551,20.785547,-422.292908,572.172546,-266.490326,175.999939,-44.622139,170.321320,-378.793793,359.514771,-252.901398,163.511368,-28.281420,162.809067,-390.293823,183.861679,-335.380463,158.553055,-17.861969,166.474655,-250.471268,134.302475,-430.137268
50,0.138889,,,,,,,20.097532,-3.836537,4.188776,-620.069885,869.792175,-31.681295,-162.646057,-62.211685,-8.504330,-541.750916,757.701538,-201.381760,28.011795,-28.740545,20.761726,-424.818237,572.586060,-266.909241,175.885071,-44.672249,170.182007,-378.469543,359.596375,-252.882187,163.262024,-28.206964,162.088913,-389.940460,184.216522,-335.441681,158.352356,-17.905678,165.989273,-250.348831,135.383484,-430.263672
51,0.141667,,,,,,,20.180109,-3.869287,4.209548,-620.111145,869.686462,-31.772524,-162.842789,-62.189018,-8.703455,-541.701233,757.699585,-201.367493,28.198620,-26.986292,20.838144,-421.871338,572.299805,-266.443878,176.319885,-44.702473,170.642517,-377.863037,359.691376,-252.929565,168.140045,-30.818022,157.728027,-391.635925,183.155365,-333.229462,147.724487,-8.376722,156.208374,-250.907654,136.239502,-432.329681
52,0.144444,,,,,,,20.722290,-3.970803,4.220976,-620.256409,869.145752,-32.099537,-162.735443,-62.217361,-8.631458,-541.479004,757.724426,-201.441391,28.236809,-26.973269,20.866138,-421.664032,572.368469,-266.415009,176.267929,-44.671787,170.597885,-377.498322,359.769135,-252.936722,168.189590,-30.936312,157.570908,-391.187225,183.270630,-333.206268,148.288132,-8.608671,155.475601,-250.971649,137.463104,-433.113922
53,0.147222,,,,,,,21.257805,-4.055100,4.252542,-620.436401,868.546875,-32.442440,-162.805206,-62.199863,-8.704377,-541.390503,757.726501,-201.437469,27.460722,-28.838091,23.063107,-422.383972,574.197021,-263.485809,176.224319,-44.685040,170.499298,-377.135101,359.859680,-252.919708,168.379517,-31.072754,157.578674,-390.750732,183.418930,-333.256531,149.051758,-9.020554,154.876572,-250.946350,138.534515,-433.832092
54,0.150000,,,,,,,21.664764,-4.097251,4.263958,-620.484497,868.110413,-32.678188,-162.870636,-62.198277,-8.765376,-541.277954,757.747864,-201.446991,27.473471,-28.885803,23.089167,-422.260406,574.272339,-263.457245,176.113861,-44.687027,170.361237,-376.793610,359.948578,-252.921219,168.336258,-31.145561,157.367996,-390.268127,183.450714,-333.237671,149.805939,-9.410320,153.750504,-251.065887,139.616180,-434.587677
55,0.152778,,,,,,,21.721430,-4.116321,4.281106,-620.496704,868.035706,-32.749813,-162.936340,-62.185047,-8.831617,-541.194824,757.760437,-201.445374,27.486322,-28.886206,23.119640,-422.087463,574.320313,-263.413177,176.045471,-44.713589,170.271515,-376.460449,360.036530,-252.940063,168.634842,-31.283442,157.394791,-389.959930,183.380615,-333.178314,150.034531,-9.405006,153.465683,-251.350525,140.732162,-435.379272
56,0.155556,,,,,,,21.999306,-4.164392,4.302041,-620.522705,867.716431,-32.971378,-162.915680,-62.208981,-8.792831,-541.064941,757.794800,-201.437302,,,,,,,175.895020,-44.650459,170.286438,-376.144348,360.149353,-252.998291,168.722748,-31.471090,157.204895,-389.572693,183.501816,-333.203491,160.488922,-19.297182,162.142487,-250.069229,142.519897,-435.551514
57,0.158333,,,,,,,22.048603,-4.162989,4.323511,-620.518250,867.639954,-33.003384,-163.022964,-62.197624,-8.899011,-540.993774,757.811707,-201.446426,28.716974,-28.734921,21.072361,-424.090393,572.957703,-267.297699,175.779755,-44.617966,170.047180,-375.844757,360.252411,-252.992752,169.097321,-31.608555,157.438217,-389.033020,183.855698,-333.395355,150.582214,-9.968449,152.441116,-251.455032,143.020645,-437.154755
58,0.161111,,,,,,,21.629595,-4.138346,4.344109,-620.403442,868.087524,-32.833004,-163.076950,-62.178532,-8.960243,-540.911621,757.832886,-201.444153,28.733313,-28.791758,21.086737,-424.029083,573.075806,-267.377869,175.760544,-44.637547,169.956375,-375.456909,360.386841,-253.067200,168.782776,-31.770407,156.954941,-388.660248,183.714203,-333.308624,150.875427,-10.004272,151.812805,-251.852875,144.123062,-437.989105
